trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
88,0,88,0,153.4190091,154.4172762,154.4172762,154.4172762,154.717595,0,up,1,0.6347618,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
89,0,89,0,155.0855115,156.0841216,156.0841216,156.0841216,156.3836021,-4,down,1,0.6672687,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
90,0,90,0,156.768573,157.767292,157.767292,157.767292,158.0674667,0,up,1,0.6923758,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
91,0,91,0,158.4854959,159.4841084,159.4841084,159.4841084,159.7837705,-5,down,1,0.8132065,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
92,0,92,0,160.3187701,161.3169543,161.3169543,161.3169543,161.6172201,0,up,1,0.8990408,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
93,0,93,0,162.2350831,163.2339118,163.2339118,163.2339118,163.5336094,-2,down,1,1.0909601,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
94,0,94,0,164.351733,165.3502392,165.3502392,165.3502392,165.6504795,0,up,1,0.482731,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
95,0,95,0,165.8520677,166.8498684,166.8498684,166.8498684,167.1497098,-5,down,1,0.8501737,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
96,0,96,0,167.7180076,168.7168768,168.7168768,168.7168768,169.0163179,-3,down,1,0.633141,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
97,0,97,0,169.3687503,170.3667885,170.3667885,170.3667885,170.6666492,0,up,1,0.8203715,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
98,0,98,0,171.217997,172.2168502,172.2168502,172.2168502,172.5166703,4,down,1,0.5965292,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
99,0,99,0,172.8349573,173.8332305,173.8332305,173.8332305,174.1331475,0,up,1,0.9852772,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
